image_path,ground_truth,predicted_text,cer,wer
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0141.png,L,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0185.png,3,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0087.png,L,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0010.png,7,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0141.png,3,3,0.0,0.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0215.png,6,6,0.0,0.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0118.png,4,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0012.png,H,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0042.png,A,A,0.0,0.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0136.png,H,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0207.png,C,C,0.0,0.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0116.png,7,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0211.png,4,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0006.png,6,6,0.0,0.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0083.png,5,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0038.png,0,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0178.png,7,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0054.png,9,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0081.png,K,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0123.png,7,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0206.png,5,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0184.png,1,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0110.png,K,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0001.png,H,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0128.png,9,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0048.png,0,0,0.0,0.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0156.png,R,R,0.0,0.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0170.png,8,8,0.0,0.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0022.png,7,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/Dataset5/archive/LP-characters/images/0173.png,5,5,0.0,0.0
